OS,Runtime,Arch,Method,Iteration,ElapsedMs,PayloadBytes,ObjectCount
macOS,net8.0,arm64,Protobuf_Deserialize,22,0.233688,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,23,0.235877,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,24,0.237548,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,25,0.235604,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,26,0.235026,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,27,0.236880,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,28,0.235350,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,29,0.235004,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,30,0.233787,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,31,0.234770,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,32,0.235310,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,33,0.236137,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,34,0.236190,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,35,0.236441,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,36,0.235158,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,37,0.235409,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,38,0.234649,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,39,0.236189,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,40,0.236926,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,41,0.235223,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,42,0.236215,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,43,0.236352,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,44,0.235305,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,45,0.236298,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,46,0.235186,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,47,0.235241,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,48,0.239090,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,49,0.235249,936161,400
